,specimen_prediction,Id,paper
3947, CM 11162 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3949, CM 11162 CM 11161 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3950, CM 3018 CM 11161 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3951, CM 11162 CM 3018 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3953, DNM 94 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
3954, DNM 94 DNM 96 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
3957, DNM 96 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3961, CM 11069 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3962, CM 8942 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3963, DINO 3353 DNM 94 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3964, CM 11337 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3965, DINO 11541 DNM 116 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3966, DINO 1909 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3968, AMNH FR ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3970, DMNH 1494 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3971, ROM 3670 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3972, CM 11372 UNSM 53192 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3973, USNM 10865 USNM 13786 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3974, UUVP 6000 UU 6000 DINO 2560 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3975, LACM 52844 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
3976, DINO 28 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4028, ACM 41109 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
4042, YPM 1883 ACM 41109 ICZN ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4119, WPA 1 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4122, WPA ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
4142, BIBE ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4148, BIBE 45854 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4149, TMM 41541 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4166, UTEP P 37 3 086 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4167, LSUMGS 489 6238 LSUMG 489 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4168, TMM 43681 1 TMM 43681 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4169, LSUMNS 20010 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4170, TMM 46015 1 TMM 46015 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4172, TMM 46033 1 TMM 46033 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4173, TMM 43098 TMM 43098 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4184, UMNH VP ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
4221, DINO 16488 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4225, MCZ 2404 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
4226, MCZ 2404 DNM 16 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4229, DNM 16 ,"AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS",5
4241, DMNH 2008 06 01 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4242, DMNH 2008 06 02 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4254, DMNH 2010 ,AN INVENTORY OF NON-AVIAN DINOSAURS FROM NATIONAL PARK SERVICE AREAS,5
4443, TTU A16407 ,",",0
4492, TMM 892 69 ,",",0
4511, SMU 275 ,",",0
4514, SMU 262 SMU 302 ,",",0
4544, TTU 40 ,",,,",0
4549, TTU 40 TTU 40 ,",",0
4584, TTU 60 47 90a TTU 50 47 81a ,",",0
4627, TTU A8332 TTU A12656 TTU A904 TTU A13424 ,",",0
4690, TTU A2980 ,",",0
4692, TTU A7563 ,",",0
4694, TTU A13321 ,",",0
4695, TTU A 13352 ,",",0
4697, TTU A15901 ,",",0
4698, TTU A15935 ,",",0
4699, TTU A15936 ,",",0
4701, TTU ,",,,,,",0
4703, TTU A5666 ,",",0
4705, TTU A3151 ,",",0
4726, NALMA ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4733, NALMA with ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4736, NALMAs was ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4745, TMM ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
4747, TMM 31263 ,"Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas",22
4757, TMM 31263 6 TMM 31263 10 ,Revised Biostratigraphy of the Middle Miocene to Earliest Pliocene Goliad Formation of South Texas,22
