,specimen_prediction,Id,paper
10412, QJ 4J ,,0
10436, OJ M ,,0
10439, CNI J ,,0
10443, CNI II ,,0
10468, TTU A244 ,",",0
10500, TTU A22397 ,,0
10574, VU 0 ,,0
10661, USNM 10487 ,,0
10672, USNM 15560 ,",,,,,,",0
10708, TMM 43621 1 ,",",0
10835, USNM 10487 USNM 15560 ,",",0
10852, TMM 42495 4 ,,0
10942, TMM collection TMM 41398 1 ,,0
10960, TMM 41541 1 ,",",0
11039, TMM 31099 ,"REINTERPRETATION OF THE HOLOTYPE OF MALERISAURUS LANGSTONI, A DIAPSID REPTILE FROM THE UPPER TRIASSIC CHINLE GROUP OF WEST TEXAS",19
11065, TMM as well ,"REINTERPRETATION OF THE HOLOTYPE OF MALERISAURUS LANGSTONI, A DIAPSID REPTILE FROM THE UPPER TRIASSIC CHINLE GROUP OF WEST TEXAS",19
11119, TMM quarry 2 ,"REINTERPRETATION OF THE HOLOTYPE OF MALERISAURUS LANGSTONI, A DIAPSID REPTILE FROM THE UPPER TRIASSIC CHINLE GROUP OF WEST TEXAS",19
11147, Lehman 1987 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11155, TMM 41917 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11209, Lehman 1985B ,p p o o •5 ^ C:r* ^ CD CD P O,32
11210, TMM collection have ,p p o o •5 ^ C:r* ^ CD CD P O,32
11301, WPA WPA ,p p o o •5 ^ C:r* ^ CD CD P O,32
11302, WPA 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11303, TMM 43682 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11308, WPA 1 TMM 43682 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11309, WPA 3 TMM 43682 WPA 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11340, TMM 42534 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11345, TMM 42534 TMM 41917 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11347, TMM 41442 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11382, WPA ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11402, AMNH 3072 AMNH 3076 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11413, TMM 41436 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11460, WPA 3 TMM 43679 TMM 43682 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11461, WPA 3 TMM 43682 TMM 42452 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11485, TMM 41442 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11543, WPA 3 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11557, UTEP P 37 7 220 UTEP P 37 7 222 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11561, UTEP P 37 7 222 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11568, TMM 42309 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11574, WPA2 was WPA3 was ,p p o o •5 ^ C:r* ^ CD CD P O,32
11651, TMM 42452 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11678, TZ U ,p p o o •5 ^ C:r* ^ CD CD P O,32
11806, TMM 42936 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11879, ANSP 10005 ROM 4514 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11880, MCSNM v345 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11893, ROM 4514 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11898, TMM 42309 2 AMNH 8053 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11914, ANSP 10005 TMM 42309 2 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11923, NJSM 12132 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11929, NMMNH P 31928 NMMNH P 25057 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11959, Homer 1992 AMNH 5465 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11962, TMM 42314 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11963, NMMNH P 16106 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11968, UCMP 177303 OTM F138 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
11988, ROM 4514 MNHM v345 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11990, TMM 42452 1 TMM 41442 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
11992, RTMP 80 22 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12003, AMNH 5350 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12004, ROM 4514 AMNH 5350 MNHM v345 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12012, UM 5204 AMNH 5350 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12013, BYU 12950 NMMNH P 16106 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12017, YPM PU 16970 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12019, YPM PU 16970 is ,p p o o •5 ^ C:r* ^ CD CD P O,32
12023, ACM 578 AMNH 5350 MNHM v345 NMC 2278 ROM 4514 YPM PU 16970 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12036, NMC 2278 YPM PU 16970 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12077, NMC 2278 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12097, OTM F138 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12108, Ostrom 1961 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12122, AMNH 5795 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12140, DMNH 1493 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12186, TMM 43681 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12195, TMM 42452 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12205, TMM 43679 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12238, BYU 12950 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12247, NMMNH P16106 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12250, NMC 2278 RTMP 80 22 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12251, TMM 42452 1 AMNH 5350 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12435, TMM 41451 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12496, TMM 42936 1 AUMP 982 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12587, TMM 424452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12611, TMM 41917 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
12876, TMM 42432 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12877, UTEP P 37 7 222 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12884, TMM 42324 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
12999, TMM 42309 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13005, AMNH 3079 TMM 41442 1 TMM 41917 TMM 42539 3 TMM 43680 TMM 43682 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13006, TMM 42539 3 TMM 43682 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13017, TMM 41442 1 TMM 41917 1 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13018, TMM 41442 TMM 41917 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13019, TMM 41917 1 TMM 41442 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13020, TMM 41917 1 TMM 42452 TMM 41442 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13021, TMM 41442 1 TMM 42452 1 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13025, TMM 43682 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13028, TMM 41917 1 TMM 41442 1 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13036, TMM 41442 1 TMM 43682 TMM 41917 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13042, NMMNH P 16106 NMMNH P 31794 BYU 12950 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13044, TMM 43680 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13073, TMM 42539 3 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13076, TMM 43680 TMM 43680 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13088, TMM 41918 3 TMM 41917 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13093, LSUMG V 1183 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13094, TMM quadrate ,p p o o •5 ^ C:r* ^ CD CD P O,32
13128, TMM 42452 1 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13139, TMM 40815 2 TMM 43682 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13140, TMM 40815 2 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13160, TMM 40815 2 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13162, TMM 42876 TMM 42335 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13163, TMM 42334 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13165, TMM 42335 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13168, AMNH 5797 BYU 12950 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13181, TMM 42876 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13186, TMM 42880 TMM 42876 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13187, TMM 42880 MLP 98 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13199, TMM 42309 1 UTEP P 37 7 291 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13207, TMM 42309 1 AMNH 5350 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13214, TMM collections ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13223, UTEP P 37 7 008 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13236, UTEP P 37 7 008 UTEP P 37 7 047 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13258, UTEP P 37 7 244 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13261, UTEP P 37 7 245 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13269, UTEP P 37 7 239 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13271, TMM 42334 2 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13272, TMM 40810 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13273, UTEP F Sl 1 111 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13274, TMM 42309 2 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13281, TMM 42309 USNM 8058 ROM 4514 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13288, TMM 42309 3 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13326, PMU R236 NMMNH P 31928 USNM 8058 ROM 4514 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13327, ANSP 10005 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13329, TMM 42309 3 UTEP P 37 7 292 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13375, UTEP P 37 7 221 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13377, TMM 42325 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13403, AMH 5350 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13433, GSC 8509 SM 4036 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13435, AMNH 5799 USNM 8629 NMMNH P 31928 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13460, TMM 43681 UTEP P 37 7 222 UTEP P 37 7 002 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13467, UTEP P 37 7 015 WPA 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13468, UTEP P 37 7 007 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13509, TMM 40484 ROM 5478 TMM 40484 88 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13523, UTEP P 37 7 250 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13537, UTEP P 37 7 269 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13554, UTEP P 37 7 253 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13580, UTEP P 37 7 222 TMM 42309 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13581, UTEP P 37 7 222 TMM 42309 2 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13608, UTEP P 37 7 002 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13611, UTEP P 37 7 285 UTEP P 37 7 019 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13624, TMM 41917 1 TMM 43682 TMM 40815 2 TMM 43681 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13628, TMM 42536 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13629, OMNH 53927 UTEP 009 TMM 42324 UTEP 326 TMM 40574 TMM 42309 UTEP P 37 7 015 UTEP 312 UTEP P UTEP 296 UTEP 244 UTEP 309 TMM 42334 UTEP P 37 7 293 UTEP 004 TMM 40426 UTEP 038 TMM 41231 TMM 42534 UTEP 030 TMM UTEP ,p p o o •5 ^ C:r* ^ CD CD P O,32
13630, TMM 40815 TMM 40814 TMM 40814 TMM 40814 TMM 40812 TMM 40813 TMM 40818 TMM 40199 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13631, TMM 43678 TMM 43679 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13651, OMNH 53927 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13667, GSC 2289 YPM 618 YPM PU ,p p o o •5 ^ C:r* ^ CD CD P O,32
13691, MOR 447 7 TMM 42452 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13695, MOR 447 7 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13703, YPM 618 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13708, TMM 42536 8 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13709, AMNH 5338 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13723, TMM 42452 1 TMM 42536 8 AMNH 5338 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13726, TMM 43678 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13733, AMNH 5737 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13754, TMM 40484 8 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13760, UTEP P 37 7 312 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13762, UTEP P 37 7 353 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13769, UTEP P 37 7 317 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13773, UTEP P 37 7 317 AMNH 5350 TMM 42309 9 UTEP P 37 7 259 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13775, UTEP P 37 7 259 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13777, MNHM v345 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13779, UTEP P 37 7 015 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13783, TMM 42309 9 AMNH 5204 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13784, UTEP P 37 7 260 TMM 42309 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13793, TMM 40814 4 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13798, UTEP P 37 7 298 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13810, UTEP P 37 7 296 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13814, UTEP P 37 7 294 TMM collections ,p p o o •5 ^ C:r* ^ CD CD P O,32
13819, UTEP P 37 7 293 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13823, TMM 40812 2 TMM 40813 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13838, TMM 43679 TMM 42534 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13858, UTEP P 37 7 036 ,"p p o o •5 ^ C:r* ^ CD CD P O,p p o o •5 ^ C:r* ^ CD CD P O",32
13862, TMM 42334 1 UTEP P 37 7 022 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13933, ROM 5505 ,p p o o •5 ^ C:r* ^ CD CD P O,32
13958, AMNH 5060 ,p p o o •5 ^ C:r* ^ CD CD P O,32
14031, Williams 2000makes ,p p o o •5 ^ C:r* ^ CD CD P O,32
14038, TMM 43681 1 ,p p o o •5 ^ C:r* ^ CD CD P O,32
14065, UTEP P 37 7 003 ,p p o o •5 ^ C:r* ^ CD CD P O,32
14101, NAMLA ,p p o o •5 ^ C:r* ^ CD CD P O,32
14133, TMM 45947 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14183, OMNH 27711 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14189, TMM 45947 502 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14191, TMM 45947 501 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14206, OMNH 27711 LSMUG 140 6101 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14211, MSC Pv 41 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14227, LSMUG 140 6101 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14233, TMM 45947 502 OMNH 27711 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14240, TMM 45947 503 TMM45947 501 TMM 45947 504 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14244, TMM 45947 503 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14249, TMM 45947 567 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14250, TMM 45947 505 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14251, TMM 45947 541 TMM 45947 567 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14264, OMNH 27711 OMH 27711 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14270, LSUMG 140 6106 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14272, LSMUG 140 6106 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14280, TMM 45947 506 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14287, TMM 45947 510 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14288, TMM 45947 507 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14291, TMM 45947 509 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14310, TMM 45947 517 ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
14312, TMM 45947 515 OMNH 33863 ,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,15
14322, KFmA ,"New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas,New taxa among a remarkably diverse assemblage of fossil squamates from the Aguja Formation (lower Campanian) of West Texas",15
